"ID","model","weight","M","R"
23489.0,"DDHy",1.3846355680390552e-05,0.1817093007020661,17.291377771746042
23489.0,"DDHy",1.3846355680390552e-05,0.20121981508231043,16.291661033477173
23489.0,"DDHy",1.3846355680390552e-05,0.22299430145804533,15.321600099973194
23489.0,"DDHy",1.3846355680390552e-05,0.24727398935395006,14.762946947261492
23489.0,"DDHy",1.3846355680390552e-05,0.2744745448790295,14.139393750605544
23489.0,"DDHy",1.3846355680390552e-05,0.3050746441880618,13.801103011447848
23489.0,"DDHy",1.3846355680390552e-05,0.3396012823353943,13.383189683853535
23489.0,"DDHy",1.3846355680390552e-05,0.37859037553514857,13.084690049959175
23489.0,"DDHy",1.3846355680390552e-05,0.42257802220064217,12.9011009667806
23489.0,"DDHy",1.3846355680390552e-05,0.47205514011597816,12.711613080129812
23489.0,"DDHy",1.3846355680390552e-05,0.527443441430065,12.613329966571428
23489.0,"DDHy",1.3846355680390552e-05,0.5889737255842903,12.50595252997081
23489.0,"DDHy",1.3846355680390552e-05,0.6567379389882821,12.464951517415487
23489.0,"DDHy",1.3846355680390552e-05,0.7305602628942226,12.41149048418686
23489.0,"DDHy",1.3846355680390552e-05,0.810048108369728,12.408245773908448
23489.0,"DDHy",1.3846355680390552e-05,0.8944905242228829,12.387890113566081
23489.0,"DDHy",1.3846355680390552e-05,0.9829774419198674,12.40324340748144
23489.0,"DDHy",1.3846355680390552e-05,1.0743627943878291,12.39211070838556
23489.0,"DDHy",1.3846355680390552e-05,1.1673627925979644,12.409007605897228
23489.0,"DDHy",1.3846355680390552e-05,1.2606152189679016,12.397661407743445
23489.0,"DDHy",1.3846355680390552e-05,1.352770229000629,12.383555613160466
23489.0,"DDHy",1.3846355680390552e-05,1.4425533789750844,12.379773902933785
23489.0,"DDHy",1.3846355680390552e-05,1.5288331458907205,12.350057641876283
23489.0,"DDHy",1.3846355680390552e-05,1.6106588239036328,12.312173790011835
23489.0,"DDHy",1.3846355680390552e-05,1.687286798130557,12.2678922078626
23489.0,"DDHy",1.3846355680390552e-05,1.7581853915791608,12.225527942276377
23489.0,"DDHy",1.3846355680390552e-05,1.8230225974514263,12.16380581788888
23489.0,"DDHy",1.3846355680390552e-05,1.8816475795397918,12.09345965790772
23489.0,"DDHy",1.3846355680390552e-05,1.9340660110651662,12.017856495629301
23489.0,"DDHy",1.3846355680390552e-05,1.980404757611794,11.936764237275039
23489.0,"DDHy",1.3846355680390552e-05,2.0208870773492427,11.851228777712077
23489.0,"DDHy",1.3846355680390552e-05,2.0558062335738687,11.761794998345241
23489.0,"DDHy",1.3846355680390552e-05,2.0854979439647705,11.67539693233047
23489.0,"DDHy",1.3846355680390552e-05,2.110326799242924,11.579402622337193
23489.0,"DDHy",1.3846355680390552e-05,2.1306675958894035,11.481177217073348
23489.0,"DDHy",1.3846355680390552e-05,2.1468934143461427,11.381796700578818
23489.0,"DDHy",1.3846355680390552e-05,2.159369083292258,11.281634527173276
23489.0,"DDHy",1.3846355680390552e-05,2.168443076831449,11.180776095269634
23489.0,"DDHy",1.3846355680390552e-05,2.17444451488142,11.079975330357584
23489.0,"DDHy",1.3846355680390552e-05,2.1776823502670952,10.9795474572891
23489.0,"DDHy",1.3846355680390552e-05,2.1784424022499187,10.879789438610924
23489.0,"DDHy",1.3846355680390552e-05,2.1769881543239458,10.780895309554854
23489.0,"DDHy",1.3846355680390552e-05,2.173560388559405,10.683065752784454
23489.0,"DDHy",1.3846355680390552e-05,2.168379866523338,10.586480185473881
23489.0,"DDHy",1.3846355680390552e-05,2.161646907329539,10.491358871565229
23489.0,"DDHy",1.3846355680390552e-05,2.1535434121055324,10.39781250101768
23489.0,"DDHy",1.3846355680390552e-05,2.144234146427271,10.306000059880994
23489.0,"DDHy",1.3846355680390552e-05,2.133861215570709,10.215902987808555
23489.0,"DDHy",1.3846355680390552e-05,2.1225469752731,10.127233775051495
23489.0,"DDHy",1.3846355680390552e-05,2.1103990286868326,10.04042456129769
22824.0,"DDH",1.743539384132389e-05,0.19972578660365575,16.44747541083811
22824.0,"DDH",1.743539384132389e-05,0.22507620365097364,15.365461896046947
22824.0,"DDH",1.743539384132389e-05,0.2530438532296472,14.744145418943164
22824.0,"DDH",1.743539384132389e-05,0.2837009274672526,14.162915549232187
22824.0,"DDH",1.743539384132389e-05,0.3172757124125703,13.827210488549929
22824.0,"DDH",1.743539384132389e-05,0.3540074150374614,13.4869604698347
22824.0,"DDH",1.743539384132389e-05,0.39414661812133434,13.307389951586234
22824.0,"DDH",1.743539384132389e-05,0.43793812896433193,13.091928114874948
22824.0,"DDH",1.743539384132389e-05,0.4855923759597907,13.005411583260338
22824.0,"DDH",1.743539384132389e-05,0.5373079914794695,12.865489139853045
22824.0,"DDH",1.743539384132389e-05,0.5932208260497138,12.776289459990512
22824.0,"DDH",1.743539384132389e-05,0.6533637888355219,12.743495908279542
22824.0,"DDH",1.743539384132389e-05,0.7176869396815152,12.68883840816939
22824.0,"DDH",1.743539384132389e-05,0.7860277536537718,12.683721901939489
22824.0,"DDH",1.743539384132389e-05,0.8580660885205484,12.644937624018219
22824.0,"DDH",1.743539384132389e-05,0.9333326950596924,12.650051245418911
22824.0,"DDH",1.743539384132389e-05,1.0112414156911853,12.62252105189805
22824.0,"DDH",1.743539384132389e-05,1.0910649060470627,12.596900041638163
22824.0,"DDH",1.743539384132389e-05,1.1719755061026056,12.596147792204304
22824.0,"DDH",1.743539384132389e-05,1.2530764240222747,12.565948429995155
22824.0,"DDH",1.743539384132389e-05,1.3334520037751771,12.531186491152885
