"ID","model","weight","p","rho"
23489.0,"DDHy",1.3846355680390552e-05,0.2746176819422,0.06
23489.0,"DDHy",1.3846355680390552e-05,0.39053855473349997,0.07
23489.0,"DDHy",1.3846355680390552e-05,0.5326141565769,0.08
23489.0,"DDHy",1.3846355680390552e-05,0.7018981903809001,0.09
23489.0,"DDHy",1.3846355680390552e-05,0.8997827782105,0.1
23489.0,"DDHy",1.3846355680390552e-05,1.1283094047276,0.11
23489.0,"DDHy",1.3846355680390552e-05,1.3853482768992,0.12
23489.0,"DDHy",1.3846355680390552e-05,1.6725088293919002,0.13
23489.0,"DDHy",1.3846355680390552e-05,1.9982861310989002,0.14
23489.0,"DDHy",1.3846355680390552e-05,2.3690500908051,0.15
23489.0,"DDHy",1.3846355680390552e-05,2.7912917252788003,0.16
23489.0,"DDHy",1.3846355680390552e-05,3.2718166913483997,0.17
23489.0,"DDHy",1.3846355680390552e-05,3.8177263723731,0.18
23489.0,"DDHy",1.3846355680390552e-05,4.4363443618902005,0.19
23489.0,"DDHy",1.3846355680390552e-05,5.1351276375604,0.2
23489.0,"DDHy",1.3846355680390552e-05,5.92157672977,0.21
23489.0,"DDHy",1.3846355680390552e-05,6.8031510613893005,0.22
23489.0,"DDHy",1.3846355680390552e-05,7.787192270197,0.23
23489.0,"DDHy",1.3846355680390552e-05,8.880856719934501,0.24
23489.0,"DDHy",1.3846355680390552e-05,10.0910575737804,0.25
23489.0,"DDHy",1.3846355680390552e-05,11.424416349766,0.26
23489.0,"DDHy",1.3846355680390552e-05,12.8872236192319,0.27
23489.0,"DDHy",1.3846355680390552e-05,14.4854083557068,0.2799999999999999
23489.0,"DDHy",1.3846355680390552e-05,16.2245153454787,0.29
23489.0,"DDHy",1.3846355680390552e-05,18.1096900084076,0.3
23489.0,"DDHy",1.3846355680390552e-05,20.1456699363787,0.31
23489.0,"DDHy",1.3846355680390552e-05,22.3367824318748,0.32
23489.0,"DDHy",1.3846355680390552e-05,24.686947318359,0.3299999999999999
23489.0,"DDHy",1.3846355680390552e-05,27.1996842966355,0.3399999999999999
23489.0,"DDHy",1.3846355680390552e-05,29.8781241365018,0.35
23489.0,"DDHy",1.3846355680390552e-05,32.7250230199241,0.36
23489.0,"DDHy",1.3846355680390552e-05,35.742779389340704,0.37
23489.0,"DDHy",1.3846355680390552e-05,38.933452700755005,0.38
23489.0,"DDHy",1.3846355680390552e-05,42.2987835340131,0.39
23489.0,"DDHy",1.3846355680390552e-05,45.8402145698356,0.3999999999999999
23489.0,"DDHy",1.3846355680390552e-05,49.5589120027244,0.41
23489.0,"DDHy",1.3846355680390552e-05,53.4557870187073,0.42
23489.0,"DDHy",1.3846355680390552e-05,57.531517025393,0.43
23489.0,"DDHy",1.3846355680390552e-05,61.7865663774564,0.44
23489.0,"DDHy",1.3846355680390552e-05,66.22120639250289,0.45
23489.0,"DDHy",1.3846355680390552e-05,70.8355344994194,0.4599999999999999
23489.0,"DDHy",1.3846355680390552e-05,75.6294924034095,0.47
23489.0,"DDHy",1.3846355680390552e-05,80.60288318877299,0.48
23489.0,"DDHy",1.3846355680390552e-05,85.75538731210939,0.49
23489.0,"DDHy",1.3846355680390552e-05,91.0865774652421,0.5
23489.0,"DDHy",1.3846355680390552e-05,96.5959323090791,0.51
23489.0,"DDHy",1.3846355680390552e-05,102.2828490972732,0.52
23489.0,"DDHy",1.3846355680390552e-05,108.1466552223618,0.53
23489.0,"DDHy",1.3846355680390552e-05,114.186618727499,0.54
23489.0,"DDHy",1.3846355680390552e-05,120.40195783445739,0.55
23489.0,"DDHy",1.3846355680390552e-05,126.79184954367201,0.56
23489.0,"DDHy",1.3846355680390552e-05,133.3554373651467,0.5700000000000001
23489.0,"DDHy",1.3846355680390552e-05,140.0918382404318,0.5800000000000001
23489.0,"DDHy",1.3846355680390552e-05,147.00014871593999,0.5900000000000001
23489.0,"DDHy",1.3846355680390552e-05,154.0794504268581,0.6000000000000001
23489.0,"DDHy",1.3846355680390552e-05,161.32881494912908,0.6100000000000001
23489.0,"DDHy",1.3846355680390552e-05,168.74730807460338,0.62
23489.0,"DDHy",1.3846355680390552e-05,176.3339935616588,0.63
23489.0,"DDHy",1.3846355680390552e-05,184.0879364105646,0.64
23489.0,"DDHy",1.3846355680390552e-05,192.0082057096253,0.65
23489.0,"DDHy",1.3846355680390552e-05,200.09387709492728,0.66
23489.0,"DDHy",1.3846355680390552e-05,208.3440348632494,0.67
23489.0,"DDHy",1.3846355680390552e-05,216.75777377452,0.68
23489.0,"DDHy",1.3846355680390552e-05,225.3342005771827,0.6900000000000001
23489.0,"DDHy",1.3846355680390552e-05,234.0724352868858,0.7000000000000001
23489.0,"DDHy",1.3846355680390552e-05,242.97161224616252,0.7100000000000001
23489.0,"DDHy",1.3846355680390552e-05,252.0308809901901,0.7200000000000001
23489.0,"DDHy",1.3846355680390552e-05,261.2494069413032,0.7300000000000001
23489.0,"DDHy",1.3846355680390552e-05,270.6263719526923,0.7400000000000001
23489.0,"DDHy",1.3846355680390552e-05,280.1609747196896,0.75
23489.0,"DDHy",1.3846355680390552e-05,289.85243107510973,0.76
23489.0,"DDHy",1.3846355680390552e-05,299.6999741834337,0.77
23489.0,"DDHy",1.3846355680390552e-05,309.70285464701306,0.78
23489.0,"DDHy",1.3846355680390552e-05,319.8603405360679,0.79
23489.0,"DDHy",1.3846355680390552e-05,330.1717173529233,0.8
23489.0,"DDHy",1.3846355680390552e-05,340.6362879398074,0.81
23489.0,"DDHy",1.3846355680390552e-05,351.25337233842293,0.8200000000000001
23489.0,"DDHy",1.3846355680390552e-05,362.0223076086055,0.8300000000000001
23489.0,"DDHy",1.3846355680390552e-05,372.9424476124883,0.8400000000000001
23489.0,"DDHy",1.3846355680390552e-05,384.0131627698628,0.8500000000000001
23489.0,"DDHy",1.3846355680390552e-05,395.2338397897192,0.8600000000000001
23489.0,"DDHy",1.3846355680390552e-05,406.60388138234896,0.8700000000000001
23489.0,"DDHy",1.3846355680390552e-05,418.1227059558504,0.88
23489.0,"DDHy",1.3846355680390552e-05,429.7897473003956,0.89
23489.0,"DDHy",1.3846355680390552e-05,441.6044542631661,0.9
23489.0,"DDHy",1.3846355680390552e-05,453.56629041652417,0.91
23489.0,"DDHy",1.3846355680390552e-05,465.6747337216055,0.92
23489.0,"DDHy",1.3846355680390552e-05,477.9292761892396,0.93
23489.0,"DDHy",1.3846355680390552e-05,490.3294235398501,0.94
23489.0,"DDHy",1.3846355680390552e-05,502.8746948637235,0.95
23489.0,"DDHy",1.3846355680390552e-05,515.5646222828583,0.96
23489.0,"DDHy",1.3846355680390552e-05,528.3987506154228,0.97
23489.0,"DDHy",1.3846355680390552e-05,541.3766370436495,0.98
23489.0,"DDHy",1.3846355680390552e-05,554.4978507859261,0.99
23489.0,"DDHy",1.3846355680390552e-05,567.7619727736525,1.0
23489.0,"DDHy",1.3846355680390552e-05,581.168595333381,1.01
23489.0,"DDHy",1.3846355680390552e-05,594.7173218746099,1.02
23489.0,"DDHy",1.3846355680390552e-05,608.4077665835728,1.03
23489.0,"DDHy",1.3846355680390552e-05,622.2395541232662,1.04
23489.0,"DDHy",1.3846355680390552e-05,636.2123193398887,1.05
23489.0,"DDHy",1.3846355680390552e-05,650.3257069758478,1.06
23489.0,"DDHy",1.3846355680390552e-05,664.5793713894022,1.07
23489.0,"DDHy",1.3846355680390552e-05,678.9729762810075,1.08
23489.0,"DDHy",1.3846355680390552e-05,693.5061944263738,1.09
23489.0,"DDHy",1.3846355680390552e-05,708.178707416219,1.1
23489.0,"DDHy",1.3846355680390552e-05,722.9902054026927,1.11
23489.0,"DDHy",1.3846355680390552e-05,737.9403868524101,1.12
23489.0,"DDHy",1.3846355680390552e-05,753.0289583060307,1.13
23489.0,"DDHy",1.3846355680390552e-05,768.2556341442721,1.14
23489.0,"DDHy",1.3846355680390552e-05,783.6201363602949,1.15
23489.0,"DDHy",1.3846355680390552e-05,799.1221943383274,1.16
23489.0,"DDHy",1.3846355680390552e-05,814.7615446384228,1.1700000000000002
23489.0,"DDHy",1.3846355680390552e-05,830.5379307872253,1.1800000000000002
23489.0,"DDHy",1.3846355680390552e-05,846.4511030746281,1.1900000000000002
23489.0,"DDHy",1.3846355680390552e-05,862.5008183561878,1.2
23489.0,"DDHy",1.3846355680390552e-05,878.6868398611665,1.21
23489.0,"DDHy",1.3846355680390552e-05,895.008937006062,1.22
23489.0,"DDHy",1.3846355680390552e-05,911.4668852135178,1.23
23489.0,"DDHy",1.3846355680390552e-05,928.0604657364456,1.24
23489.0,"DDHy",1.3846355680390552e-05,944.7894654872681,1.25
23489.0,"DDHy",1.3846355680390552e-05,961.6536768721015,1.26
23489.0,"DDHy",1.3846355680390552e-05,978.6528976298071,1.27
23489.0,"DDHy",1.3846355680390552e-05,995.786930675728,1.28
22824.0,"DDH",1.743539384132389e-05,0.23117433325450001,0.06
22824.0,"DDH",1.743539384132389e-05,0.3340429182827,0.07
22824.0,"DDH",1.743539384132389e-05,0.4696432931854,0.08
22824.0,"DDH",1.743539384132389e-05,0.6423884078539,0.09
22824.0,"DDH",1.743539384132389e-05,0.8561409694766,0.1
22824.0,"DDH",1.743539384132389e-05,1.1143715841279,0.11
22824.0,"DDH",1.743539384132389e-05,1.4179074538977,0.12
22824.0,"DDH",1.743539384132389e-05,1.7629217924237,0.13
22824.0,"DDH",1.743539384132389e-05,2.1577380283995,0.14
22824.0,"DDH",1.743539384132389e-05,2.6073642899018,0.15
22824.0,"DDH",1.743539384132389e-05,3.1161808540478,0.16
22824.0,"DDH",1.743539384132389e-05,3.6885052279436,0.17
22824.0,"DDH",1.743539384132389e-05,4.3287433061916,0.18
22824.0,"DDH",1.743539384132389e-05,5.041434125768,0.19
22824.0,"DDH",1.743539384132389e-05,5.8312492967799,0.2
22824.0,"DDH",1.743539384132389e-05,6.702968866467,0.21
22824.0,"DDH",1.743539384132389e-05,7.6614444385573,0.22
22824.0,"DDH",1.743539384132389e-05,8.7115560995621,0.23
22824.0,"DDH",1.743539384132389e-05,9.858167512673301,0.24
22824.0,"DDH",1.743539384132389e-05,11.1060821616314,0.25
22824.0,"DDH",1.743539384132389e-05,12.4600027470154,0.26
22824.0,"DDH",1.743539384132389e-05,13.9244950009612,0.27
22824.0,"DDH",1.743539384132389e-05,15.5039566254483,0.2799999999999999
22824.0,"DDH",1.743539384132389e-05,17.2025916369828,0.29
22824.0,"DDH",1.743539384132389e-05,19.0243900910579,0.3
22824.0,"DDH",1.743539384132389e-05,20.9731129423411,0.31
22824.0,"DDH",1.743539384132389e-05,23.0522816529029,0.32
22824.0,"DDH",1.743539384132389e-05,25.2651720750264,0.3299999999999999
22824.0,"DDH",1.743539384132389e-05,27.6148120934462,0.3399999999999999
22824.0,"DDH",1.743539384132389e-05,30.103982502656603,0.35
22824.0,"DDH",1.743539384132389e-05,32.7352206087344,0.36
22824.0,"DDH",1.743539384132389e-05,35.510826074342404,0.37
22824.0,"DDH",1.743539384132389e-05,38.432868564382204,0.38
22824.0,"DDH",1.743539384132389e-05,41.5031967936791,0.39
22824.0,"DDH",1.743539384132389e-05,44.7234486238998,0.3999999999999999
22824.0,"DDH",1.743539384132389e-05,48.0950619022901,0.41
22824.0,"DDH",1.743539384132389e-05,51.619285778293,0.42
22824.0,"DDH",1.743539384132389e-05,55.297192274562406,0.43
22824.0,"DDH",1.743539384132389e-05,59.1296879259398,0.44
22824.0,"DDH",1.743539384132389e-05,63.1175253331845,0.45
22824.0,"DDH",1.743539384132389e-05,67.2613145077349,0.4599999999999999
22824.0,"DDH",1.743539384132389e-05,71.56153390956919,0.47
22824.0,"DDH",1.743539384132389e-05,76.018541102597,0.48
22824.0,"DDH",1.743539384132389e-05,80.6325829711461,0.49
22824.0,"DDH",1.743539384132389e-05,85.4038054573761,0.5
